name,fileName,panelHeight,codeCharacterization,definitions,fencing,acresMW,solarOnAgLand,permit1041Output,vegetationManagement,visualImpacts,decommissioningBond,nonCSGDeployedSolar,csgDeployedSolar,decisionFactor,deployedSolar
adams,geojson/adams-county.geojson,,,,,,,,,,,,> 10 MW,,> 10 MW
alamosa,geojson/alamosa-county.geojson,,,,,,,,No Vegetation Management Policy,No Visual Impact Policy,No Financial Assurance Requirement,,,,
arapahoe,geojson/arapahoe-county.geojson,,,,,,,,,,,,,,
archuleta,geojson/archuleta-county.geojson,,,,,,,No Applicable 1041 Regulations,No Vegetation Management Policy,No Visual Impact Policy,No Financial Assurance Requirement,,,,
baca,geojson/baca-county.geojson,,,,,,,No Applicable 1041 Regulations,,,,,,,
bent,geojson/bent-county.geojson,,,,,,,,,,,,,,
boulder,geojson/boulder-county.geojson,,,,,,,,,,,,,,
broomfield,geojson/broomfield-county.geojson,,,,,,,,,,,,,,
chaffee,geojson/chaffee-county.geojson,Solar Development Under Moratorium,Solar Development Under Moratorium,,No Fencing Policy,,Solar Development Under Moratorium,,,,,,,,
cheyenne,geojson/cheyenne-county.geojson,,,,,,,,,,,,,,
clear-creek,geojson/clear-creek-county.geojson,,,,,,,,,,,,,,
conejos,geojson/conejos-county.geojson,,,,,,,No Applicable 1041 Regulations,No Vegetation Management Policy,No Visual Impact Policy,No Financial Assurance Requirement,,,,
costilla,geojson/costilla-county.geojson,,,,,,,No Applicable 1041 Regulations,No Vegetation Management Policy,No Visual Impact Policy,No Financial Assurance Requirement,,,,
crowley,geojson/crowley-county.geojson,,,,,,,,,,,,,,
custer,geojson/custer-county.geojson,,,,,,,,,,,,,,
delta,geojson/delta-county.geojson,,,No Relevant Definitions,No Fencing Policy,No Categorization,,No Applicable 1041 Regulations,No Vegetation Management Policy,No Visual Impact Policy,No Financial Assurance Requirement,,,No Categorization,
denver,geojson/denver-county.geojson,,,,,,,,,,,,,,
dolores,geojson/dolores-county.geojson,,,,No Fencing Policy,No Categorization,,No Applicable 1041 Regulations,,,,,,,
douglas,geojson/douglas-county.geojson,,,,,,,,,,,,,,
eagle,geojson/eagle-county.geojson,,,,,,,,,,,,,,
elbert,geojson/elbert-county.geojson,,,,,,,,,,,,,,
el-paso,geojson/el-paso-county.geojson,,,,,,,,,,,,,,
fremont,geojson/fremont-county.geojson,,,,,,,,No Vegetation Management Policy,No Visual Impact Policy,No Financial Assurance Requirement,,,,
garfield,geojson/garfield-county.geojson,,,,,,,,No Vegetation Management Policy,No Visual Impact Policy,No Financial Assurance Requirement,,,,
gilpin,geojson/gilpin-county.geojson,,,,,,,,,,,,,,
grand,geojson/grand-county.geojson,,,,,,,,,,,,,,
gunnison,geojson/gunnison-county.geojson,,,,,,,,,,,,,,
hinsdale,geojson/hinsdale-county.geojson,,,,No Fencing Policy,,,No Applicable 1041 Regulations,No Vegetation Management Policy,No Visual Impact Policy,No Financial Assurance Requirement,,,,
huerfano,geojson/huerfano-county.geojson,,,,,,,,,,,,,,
jackson,geojson/jackson-county.geojson,,,,,,,,,,,,,,
jefferson,geojson/jefferson-county.geojson,,,,,,,,,,,,,,
kiowa,geojson/kiowa-county.geojson,,,,,,,,,,,,,,
kit-carson,geojson/kit-carson-county.geojson,,,,,,,,,,,,,,
lake,geojson/lake-county.geojson,,,,,,,,,,,,,,
la-plata,geojson/la-plata-county.geojson,,,,No Fencing Policy,,,,,,,,,,
larimer,geojson/larimer-county.geojson,,,,,,,,,,,,,,
las-animas,geojson/las-animas-county.geojson,,,,,,,No Applicable 1041 Regulations,,,,,,,
lincoln,geojson/lincoln-county.geojson,,,,,,,,,,,,,,
logan,geojson/logan-county.geojson,,,,,,,,,,,,> 10 MW,,> 10 MW
mesa,geojson/mesa-county.geojson,,,No Relevant Definitions,No Fencing Policy,No Categorization,,No Applicable 1041 Regulations,No Vegetation Management Policy,No Visual Impact Policy,No Financial Assurance Requirement,,,No Categorization,
mineral,geojson/mineral-county.geojson,,,,,,,No Applicable 1041 Regulations,No Vegetation Management Policy,No Visual Impact Policy,No Financial Assurance Requirement,,,,
moffat,geojson/moffat-county.geojson,,,,No Fencing Policy,,,No Applicable 1041 Regulations,,,,,,No Categorization,
montezuma,geojson/montezuma-county.geojson,,,No Relevant Definitions,No Fencing Policy,,,,,,,,,,
montrose,geojson/montrose-county.geojson,,,,No Fencing Policy,No Categorization,,No Applicable 1041 Regulations,No Vegetation Management Policy,No Visual Impact Policy,No Financial Assurance Requirement,,,No Categorization,
morgan,geojson/morgan-county.geojson,,,,,,,,,,,,> 10 MW,,> 10 MW
otero,geojson/otero-county.geojson,,,,,,,,,,,,,,
ouray,geojson/ouray-county.geojson,Solar Development Under Moratorium,,,No Fencing Policy,,,No Applicable 1041 Regulations,No Vegetation Management Policy,No Visual Impact Policy,No Financial Assurance Requirement,,,,
park,geojson/park-county.geojson,,,,,,,,,,,,,,
phillips,geojson/phillips-county.geojson,,,,,,,,,,,,,,
pitkin,geojson/pitkin-county.geojson,,,,,,,,,,,,,,
prowers,geojson/prowers-county.geojson,,,,,,,,,,,,,,
pueblo,geojson/pueblo-county.geojson,,,,,,,,,,,> 150 MW,,,
rio-blanco,geojson/rio-blanco-county.geojson,,,No Relevant Definitions,No Fencing Policy,No Categorization,,No Applicable 1041 Regulations,,,,,,No Categorization,
rio-grande,geojson/rio-grande-county.geojson,,,,,,,,No Vegetation Management Policy,No Visual Impact Policy,No Financial Assurance Requirement,,,,
routt,geojson/routt-county.geojson,,,,,,,,No Vegetation Management Policy,No Visual Impact Policy,No Financial Assurance Requirement,,,,
saguache,geojson/saguache-county.geojson,,,,,,,,,,,,,,
san-juan,geojson/san-juan-county.geojson,,,,No Fencing Policy,,,No Applicable 1041 Regulations,,,,,,,
san-miguel,geojson/san-miguel-county.geojson,,,No Relevant Definitions,No Fencing Policy,No Categorization,,No Applicable 1041 Regulations,No Vegetation Management Policy,No Visual Impact Policy,No Financial Assurance Requirement,,,No Categorization,
sedgwick,geojson/sedgwick-county.geojson,,,,,,,,,,,,,,
summit,geojson/summit-county.geojson,,,,,,,,,,,,,,
teller,geojson/teller-county.geojson,,,,,,,,,,,,,,
washington,geojson/washington-county.geojson,,,,,,,,,,,,,,
weld,geojson/weld-county.geojson,,,,,,,,,,,,> 10 MW,,> 10 MW
yuma,geojson/yuma-county.geojson,,,,,,,,,,,,,,